STATEFIP,Mean,STD
Alabama,204.88888888888889,15.806995638359286
Alaska,25.22222222222222,5.426273532033236
Arizona,216.88888888888889,18.24448166189189
Arkansas,132.33333333333334,13.47219358530748
California,1278.888888888889,72.01639473835807
Colorado,246.22222222222223,15.626722127318896
Connecticut,155.11111111111111,13.869430814244307
Delaware,39.77777777777778,3.5276684147527733
District of Columbia,31.555555555555557,4.362084109434139
Florida,668.8888888888889,29.805387283360773
Georgia,352.55555555555554,33.930484490761124
Hawaii,37.333333333333336,3.872983346207417
Idaho,73.33333333333333,7.088723439378913
Illinois,533.6666666666666,38.82975663070785
Indiana,282.55555555555554,26.05816144277606
Iowa,159.33333333333334,13.946325680981353
Kansas,148.33333333333334,10.124228365658293
Kentucky,210.33333333333334,9.578622030334008
Louisiana,173.55555555555554,15.55724197207786
Maine,61.22222222222222,3.5276684147527733
Maryland,261.8888888888889,18.57716639079032
Massachusetts,262.0,29.862183443278223
Michigan,438.3333333333333,29.832867780352597
Minnesota,289.6666666666667,14.882876066137216
Mississippi,129.33333333333334,16.492422502470642
Missouri,292.77777777777777,27.76588634357704
Montana,46.888888888888886,4.342938073598484
Nebraska,92.55555555555556,7.264831572567761
Nevada,106.55555555555556,10.27267140415663
New Hampshire,60.22222222222222,7.084803768944087
New Jersey,336.8888888888889,28.197714643408773
New Mexico,97.0,14.983324063771697
New York,685.4444444444445,53.782225481823936
North Carolina,384.8888888888889,23.528941988774676
North Dakota,33.0,3.24037034920393
Ohio,490.44444444444446,46.81108605637934
Oklahoma,175.33333333333334,10.8397416943394
Oregon,184.77777777777777,11.13303392810986
Pennsylvania,549.5555555555555,39.141126424487986
Rhode Island,44.22222222222222,6.437735971942647
South Carolina,203.0,17.00735135169495
South Dakota,40.44444444444444,7.763876465901414
Tennessee,241.55555555555554,14.680864340282591
Texas,905.2222222222222,52.58749323217923
Utah,128.0,5.049752469181039
Vermont,27.666666666666668,5.361902647381804
Virginia,378.77777777777777,19.784955002335437
Washington,300.3333333333333,21.592822881689184
West Virginia,84.55555555555556,13.058628479965932
Wisconsin,298.8888888888889,18.19645875194153
Wyoming,25.77777777777778,4.176654695380558
